curr_title,prev_id,curr_id,n,prev_title,type,connec_tot,conec_perc
Audi,848,,30,Ulrich_Hackenberg,redlink,26997,0.11
Audi,848,142314,18,Acura,other,26997,0.07
Audi,848,404177,11,Aldi,other,26997,0.04
Audi,848,21593857,12,Audi_allroad_quattro,other,26997,0.04
Audi,848,7965659,12,Automobile_layout,other,26997,0.04
Audi,848,4497,42,Bugatti,other,26997,0.16
Audi,848,13673345,17,Car,other,26997,0.06
Audi,848,39848,17,Chevrolet,other,26997,0.06
Audi,848,6882,12,Chrysler,other,26997,0.04
Audi,848,2352077,63,Daytime_running_lamp,other,26997,0.23
Audi,848,41783920,25,Fiat_Chrysler_Automobiles,other,26997,0.09
Audi,848,418780,40,Headlamp,other,26997,0.15
Audi,848,13729,21,Honda,other,26997,0.08
Audi,848,454253,10,Hyundai,other,26997,0.04
Audi,848,16217,33,Jaguar,other,26997,0.12
Audi,848,18724,16,Land_Rover,other,26997,0.06
Audi,848,63971,10,Maserati,other,26997,0.04
Audi,848,19442,74,Mercedes,other,26997,0.27
Audi,848,21240,15,Nissan,other,26997,0.06
Audi,848,2123942,21,Skoda,other,26997,0.08
Audi,848,710117,44,Volkswagen_K70,other,26997,0.16
Audi,848,32412,40,Volvo,other,26997,0.15
Audi,848,1136363,12,"1,000,000,000",other,26997,0.04
Audi,848,37527,18,Alfa_Romeo,other,26997,0.07
Audi,848,2369,17,Aston_Martin,other,26997,0.06
Audi,848,4417,42,Benz,other,26997,0.16
Audi,848,51310,11,CitroÌÇn,other,26997,0.04
Audi,848,16060858,27,DKW_F8,other,26997,0.10
Audi,848,1549949,23,Direct-shift_gearbox,other,26997,0.09
Audi,848,30859670,14,Dual-clutch_transmission,other,26997,0.05
Audi,848,12073853,30,Electronic_instrument_cluster,other,26997,0.11
Audi,848,11225,69,Ferrari,other,26997,0.26
Audi,848,30433662,55,Ford_Motor_Company,other,26997,0.20
Audi,848,12858,60,Galvanization,other,26997,0.22
Audi,848,12102,11,General_Motors,other,26997,0.04
Audi,848,11884,14,German_language,other,26997,0.05
Audi,848,18329,32,Lexus,other,26997,0.12
Audi,848,15580374,89,Main_Page,other,26997,0.33
Audi,848,19370,15,Mazda,other,26997,0.06
Audi,848,65684,11,Mini,other,26997,0.04
Audi,848,757747,47,Quattro_(four-wheel-drive_system),other,26997,0.17
Audi,848,162292,17,Renault,other,26997,0.06
Audi,848,13310498,18,Rolls-Royce,other,26997,0.07
Audi,848,736913,14,Saab,other,26997,0.05
Audi,848,26971,10,Seat,other,26997,0.04
Audi,848,620038,429,Audi_80,link,26997,1.59
Audi,848,8235704,442,Audi_A1,link,26997,1.64
Audi,848,620051,863,Audi_A3,link,26997,3.20
Audi,848,643555,695,Audi_A5,link,26997,2.57
Audi,848,21154679,863,Audi_A7,link,26997,3.20
Audi,848,9088185,531,Audi_F103,link,26997,1.97
Audi,848,7158862,242,Audi_Q3,link,26997,0.90
Audi,848,1579560,295,Audi_Q5,link,26997,1.09
Audi,848,1014707,445,Audi_Q7,link,26997,1.65
Audi,848,940343,409,Audi_Quattro,link,26997,1.51
Audi,848,20480550,39,Audi_R15_TDI,link,26997,0.14
Audi,848,966130,769,Audi_R8,link,26997,2.85
Audi,848,10779512,13,Audi_R8R,link,26997,0.05
Audi,848,1969172,241,Audi_RS_4,link,26997,0.89
Audi,848,1436008,36,Audi_RS_6,link,26997,0.13
Audi,848,15379943,161,Audi_S5,link,26997,0.60
Audi,848,7512574,230,Audi_S_and_RS_models,link,26997,0.85
Audi,848,41452236,28,Audi_Sport_WRC_results,link,26997,0.10
Audi,848,556197,838,Audi_TT,link,26997,3.10
Audi,848,33330094,152,Audi_Type_A,link,26997,0.56
Audi,848,1248069,111,Audi_V8,link,26997,0.41
Audi,848,337044,86,Audi_alteram_partem,link,26997,0.32
Audi,848,2038,743,August_Horch,link,26997,2.75
Audi,848,163778,36,Automotive_industry,link,26997,0.13
Audi,848,23576290,16,Automotive_industry_in_Germany,link,26997,0.06
Audi,848,3772,1118,BMW,link,26997,4.14
Audi,848,3764,126,Bavaria,link,26997,0.47
Audi,848,193450,299,Chemnitz,link,26997,1.11
Audi,848,8707,125,DKW,link,26997,0.46
Audi,848,7701940,33,DKW_F102,link,26997,0.12
Audi,848,66209,391,Daimler-Benz,link,26997,1.45
Audi,848,8653,204,Ducati,link,26997,0.76
Audi,848,1024289,11,Earnings_before_interest_and_taxes,link,26997,0.04
Audi,848,172326,23,FC_Bayern_Munich,link,26997,0.09
Audi,848,661174,44,Frankfurt_Stock_Exchange,link,26997,0.16
Audi,848,1007926,16,Friedrich_Flick,link,26997,0.06
Audi,848,1605024,65,Gasoline_direct_injection,link,26997,0.24
Audi,848,869307,12,GyÅÔr,link,26997,0.04
Audi,848,2227755,99,Horch,link,26997,0.37
Audi,848,16018985,94,IFA_F9,link,26997,0.35
Audi,848,1538807,115,Italdesign_Giugiaro,link,26997,0.43
Audi,848,16275,10,Jakarta,link,26997,0.04
Audi,848,5649786,14,Joest_Racing,link,26997,0.05
Audi,848,100478,24,JÌürgen_Skafte_Rasmussen,link,26997,0.09
Audi,848,18271,300,Lamborghini,link,26997,1.11
Audi,848,34971506,587,List_of_Audi_vehicles,link,26997,2.17
Audi,848,22168961,15,List_of_PlayStation_Home_Game_Spaces,link,26997,0.06
Audi,848,251887,145,Luxury_vehicle,link,26997,0.54
Audi,848,19766,10,Marshall_Plan,link,26997,0.04
Audi,848,63867,10,Martorell,link,26997,0.04
Audi,848,854888,10,Mercedes-AMG,link,26997,0.04
Audi,848,18564164,680,Mercedes-Benz,link,26997,2.52
Audi,848,6335518,18,Multi_Media_Interface,link,26997,0.07
Audi,848,3034502,21,NSU_Prinz,link,26997,0.08
Audi,848,22284,51,Opel,link,26997,0.19
Audi,848,9809619,11,PlayStation_Home,link,26997,0.04
Audi,848,24365,181,Porsche,link,26997,0.67
Audi,848,899829,38,Rickenbacker_(car),link,26997,0.14
Audi,848,23373068,279,Rupert_Stadler,link,26997,1.03
Audi,848,585363,10,Sanyo,link,26997,0.04
Audi,848,444690,20,Silver_Arrows,link,26997,0.07
Audi,848,514191,40,Space_frame,link,26997,0.15
Audi,848,40506087,13,Spark-Renault_SRT_01E,link,26997,0.05
Audi,848,200660,15,Straight-five_engine,link,26997,0.06
Audi,848,30984,38,Toyota,link,26997,0.14
Audi,848,31010,86,Trabant,link,26997,0.32
Audi,848,32660,13,V12_engine,link,26997,0.05
Audi,848,182188,20,Volkswagen_Golf,link,26997,0.07
Audi,848,554356,21,Volkswagen_Passat,link,26997,0.08
Audi,848,373793,11,Volkswagen_Polo,link,26997,0.04
Audi,848,1573618,168,Vorsprung_durch_Technik,link,26997,0.62
Audi,848,900433,118,Wanderer_(car),link,26997,0.44
Audi,848,1943233,10,"Zetland,_New_South_Wales",link,26997,0.04
Audi,848,58557,12,Zwickau,link,26997,0.04
Audi,848,26970,13,ÅÊkoda_Auto,link,26997,0.05
Audi,848,40589187,10,2014_FIA_World_Endurance_Championship_season,link,26997,0.04
Audi,848,3955918,19,Abt_Sportsline,link,26997,0.07
Audi,848,944240,72,Aktiengesellschaft,link,26997,0.27
Audi,848,619565,480,Audi_100,link,26997,1.78
Audi,848,917563,99,Audi_50,link,26997,0.37
Audi,848,620081,204,Audi_A2,link,26997,0.76
Audi,848,661920,953,Audi_A4,link,26997,3.53
Audi,848,540028,745,Audi_A6,link,26997,2.76
Audi,848,633049,1069,Audi_A8,link,26997,3.96
Audi,848,37161764,54,Audi_Brussels,link,26997,0.20
Audi,848,30636514,30,Audi_CoupÌ©_(B2),link,26997,0.11
Audi,848,24155955,50,Audi_Front,link,26997,0.19
Audi,848,27994394,286,Audi_India,link,26997,1.06
Audi,848,38337760,72,Audi_R10_TDI,link,26997,0.27
Audi,848,30002776,107,Audi_R18,link,26997,0.40
Audi,848,30862384,12,Audi_RS_2_Avant,link,26997,0.04
Audi,848,1432147,259,Audi_S4,link,26997,0.96
Audi,848,2208853,193,Audi_S6,link,26997,0.71
Audi,848,33330186,30,Audi_Type_B,link,26997,0.11
Audi,848,9977776,171,Audi_e-tron,link,26997,0.63
Audi,848,546024,26,"Aurangabad,_Maharashtra",link,26997,0.10
Audi,848,444612,481,Auto_Union,link,26997,1.78
Audi,848,5052,69,Bentley,link,26997,0.26
Audi,848,18950900,35,Brand,link,26997,0.13
Audi,848,1877351,26,Bugatti_Automobiles,link,26997,0.10
Audi,848,250126,15,Changchun,link,26997,0.06
Audi,848,42977,14,Daimler_AG,link,26997,0.05
Audi,848,68804,10,Equity_(finance),link,26997,0.04
Audi,848,444649,14,Four-wheel_drive,link,26997,0.05
Audi,848,7753867,12,Front-engine_design,link,26997,0.04
Audi,848,185490,27,Gottlieb_Daimler,link,26997,0.10
Audi,848,4690512,15,Haldex_Traction,link,26997,0.06
Audi,848,1013539,13,IDrive,link,26997,0.05
Audi,848,208251,1044,Ingolstadt,link,26997,3.87
Audi,848,956486,32,List_of_Volkswagen_Group_petrol_engines,link,26997,0.12
Audi,848,2213137,14,Longitudinal_engine,link,26997,0.05
Audi,848,980127,14,Mercedes-Benz_A-Class,link,26997,0.05
Audi,848,762283,21,NSU_Motorenwerke,link,26997,0.08
Audi,848,741078,44,NSU_Ro_80,link,26997,0.16
Audi,848,3951350,80,Neckarsulm,link,26997,0.30
Audi,848,1076393,11,Net_income,link,26997,0.04
Audi,848,54157,15,Peugeot,link,26997,0.06
Audi,848,262293,12,Public_company,link,26997,0.04
Audi,848,14971711,183,Quattro_GmbH,link,26997,0.68
Audi,848,1267883,11,Reichenbach_im_Vogtland,link,26997,0.04
Audi,848,166000,17,SEAT,link,26997,0.06
Audi,848,567852,25,Subsidiary,link,26997,0.09
Audi,848,25984507,19,Sudden_unintended_acceleration,link,26997,0.07
Audi,848,689989,18,Trans-Am_Series,link,26997,0.07
Audi,848,32413,224,Volkswagen,link,26997,0.83
Audi,848,32652,3624,Volkswagen_Group,link,26997,13.42
Audi,848,30871181,19,Volkswagen_Iltis,link,26997,0.07
Audi,848,426754,113,Volkswagen_Phaeton,link,26997,0.42
Audi,848,692456,33,W12_engine,link,26997,0.12
Audi,848,26275918,13,Wackel-Elvis,link,26997,0.05
